22 7
23 11
15 6
9 4
14 9
24 10
10 6
11 1
16 6
25 7
30 7
17 7
13 4
26 12
17 6
24 11
18 7
27 13
34 11
21 11
26 12
23 8
17 6
12 5
28 10
33 12
18 10
26 11
4 1
22 6
26 14
18 7
16 8
9 1
20 6
22 14
19 10
17 8
34 18
29 11
29 15
25 10
9 4
24 8
18 6
24 8
16 6
29 9
10 1
21 5
21 4
28 11
27 9
27 9
20 9
22 12
20 4
20 7
17 4
17 6
20 12
22 9
23 13
15 5
11 4
18 8
31 7
24 11
23 9
22 9
19 7
17 6
16 12
24 12
24 11
14 8
16 6
14 4
24 11
11 3
19 10
21 8
22 7
19 10
27 10
11 7
22 10
22 10
24 6
21 10
14 4
17 6
19 7
35 16
20 8
24 13
20 8
22 10
18 7
22 10
17 9
20 12
23 10
19 12
26 8
17 6
27 10
20 3
14 8
12 5
21 5
21 6
24 11
30 10
27 13
20 5
28 12
26 10
24 13
11 4
39 17
25 11
21 10
20 9
9 2
16 11
19 6
23 16
20 6
10 7
19 7
17 9
18 6
17 9
13 7
19 10
18 5
21 13
19 10
23 10
18 7
19 9
22 6
16 11
24 9
20 9
20 10
19 10
16 6
25 13
24 10
20 8
20 7
28 16
16 9
11 2
6 1
18 5
23 7
22 9
37 13
32 12
12 3
23 11
22 11
33 10
20 10
11 10
24 8
10 3
24 10
23 10
25 9
24 7
15 3
19 6
20 13
30 14
23 6
24 11
16 7
13 7
26 9
31 12
29 8
23 9
20 11
16 6
23 6
10 3
22 7
26 11
16 8
17 7
17 8
21 9
17 6
32 16
26 12
21 7
39 16
20 12
18 8
21 6
24 10
21 10
9 1
17 10
25 10
23 9
25 12
19 9
14 10
23 10
25 9
24 16
23 8
11 4
17 8
24 9
16 6
20 7
21 13
26 8
31 14
24 9
29 16
20 13
5 3
22 9
12 5
27 10
21 8
24 10
13 6
21 6
26 10
14 5
23 12
30 15
13 6
22 6
20 10
14 4
27 10
22 14
21 5
19 3
22 9
16 7
20 9
23 9
21 6
18 11
19 11
18 7
18 7
24 7
24 10
12 3
35 12
16 9
20 11
13 8
10 5
14 9
21 7
17 8
16 7
23 12
23 7
16 5
17 6
21 5
13 8
26 12
15 6
6 1
19 12
8 2
12 6
24 11
22 8
26 12
20 11
37 17
24 12
20 9
18 8
23 9
33 13
10 5
21 7
17 10
5 1
22 3
21 11
27 12
14 7
15 5
24 13
20 8
16 6
16 9
20 9
19 10
28 14
33 12
12 4
23 14
26 11
15 8
31 11
14 7
19 6
17 12
24 11
19 12
29 15
27 14
18 6
15 9
14 11
24 12
23 10
27 9
6 3
16 8
18 6
21 12
12 4
30 9
33 11
23 8
12 5
31 14
16 7
12 5
16 7
31 9
24 12
18 8
15 9
15 6
20 5
19 4
20 10
26 8
35 16
19 9
27 10
23 10
12 4
19 6
28 8
22 10
13 5
23 8
10 1
15 6
21 10
17 5
18 9
13 3
18 7
20 6
19 11
25 13
19 8
14 3
21 6
15 5
22 11
29 12
24 10
25 13
23 6
23 6
11 3
9 1
12 3
18 5
26 11
7 5
21 10
22 11
16 7
16 9
21 9
20 12
27 12
19 10
23 13
24 15
26 5
19 8
17 7
20 7
16 6
19 6
17 6
10 1
18 6
21 10
18 8
27 15
35 15
17 7
23 13
20 10
20 8
19 11
17 7
27 11
22 10
24 11
28 11
16 7
22 14
18 11
22 11
11 8
30 14
19 8
17 9
14 5
13 7
19 10
25 11
24 13
18 8
14 8
15 7
12 3
17 5
24 7
9 4
31 17
18 11
20 11
22 7
30 16
24 13
11 3
19 6
24 10
14 3
12 4
20 8
18 6
15 10
17 6
21 11
21 10
21 6
17 8
15 7
28 9
20 7
26 14
22 8
19 6
17 7
23 9
22 10
34 15
11 4
21 11
22 11
15 4
17 6
22 9
17 9
20 10
24 4
20 8
19 7
23 8
14 8
28 13
25 8
35 16
22 8
27 11
29 10
21 7
20 5
24 14
30 13
19 4
21 10
18 10
19 5
15 4
20 10
14 2
13 8
23 11
26 15
18 6
16 5
26 11
19 12
17 6
19 5
18 7
26 14
17 9
23 12
22 10
19 8
22 7
35 10
29 10
41 16
2 0
30 7
27 14
25 9
18 9
16 8
19 8
21 11
22 6
24 11
22 12
22 7
28 13
29 11
23 8
24 14
19 9
30 14
18 5
38 14
25 12
10 2
21 12
15 7
22 10
24 10
30 10
15 6
30 8
21 11
21 5
15 6
22 10
23 10
17 6
21 10
14 9
23 10
29 13
33 9
24 12
26 8
9 4
27 11
19 9
15 4
18 5
17 7
23 6
22 6
22 11
13 9
26 12
18 6
19 14
20 14
4 1
26 8
16 4
21 7
18 9
13 3
18 7
8 1
21 13
13 2
17 6
14 8
22 9
13 7
28 11
17 7
17 10
32 11
23 14
14 9
15 4
18 5
18 6
19 8
11 3
22 5
23 13
14 4
36 12
30 14
15 4
17 9
12 5
19 11
15 11
23 11
21 9
11 3
19 10
22 5
14 6
20 8
22 8
19 7
22 11
26 9
18 9
11 5
16 5
16 9
21 5
12 6
28 9
19 6
20 8
13 5
18 10
16 9
15 4
19 9
9 3
16 7
20 4
26 12
11 3
20 8
15 7
17 6
20 9
28 12
10 4
16 7
17 9
10 2
17 11
19 11
17 9
18 6
15 6
21 8
16 7
25 8
22 7
25 8
21 11
15 7
21 4
18 6
27 13
12 6
11 4
21 5
21 9
